productId,users,paid_in_full_rate,productTitle,price,discountPrice
02f3176c-d54b-4f2b-9762-ec45be7be820,1,0.0,Babskenky Mentorship and Coaching Consultation (per Hour),100.0,75.0
04974be6-46e4-42b7-bfe0-e045c6616a9b,2,1.0, À LA CARTE ONE-TIME INTERVIEW PREP HELP (TECHNICAL & NON TECHNICAL) 2026,500.0,
07fdf4cb-85d8-4f4d-9285-0f712f11c992,9,0.1111111111111111,100+ Hours Live Interview Mastery,1000.0,500.0
16ad7bae-2030-4025-86fc-d402e04f32f6,2,1.0,Dedicated Technical And Non-Technical Case Solutioning & Interview Prep,350.0,250.0
299c7ee3-895a-4574-870a-2de120c2885b,63,0.5079365079365079,6-Month Comprehensive Career Accelerator Program,2500.0,2000.0
3d8f579c-1c64-44c0-b3e6-85ef880a9bf6,1,0.0,Triple Play Course Beta Salesforce Automation Implementation,750.0,500.0
3e074e98-24ff-47df-91e0-8c59a492fe9e,28,0.10714285714285714,2026 ONE-YEAR VIP DIAMOND MENTORSHIP ,7500.0,0.0
3e487669-fc09-4c1a-ba0f-e9cbe85b93ce,1,1.0,Leadership Training and Soft Skill Development for Technical Contributors ,2500.0,2000.0
3eb0a4e6-0506-454f-99b0-66bcc956317a,4,0.0,2026 One-on-One VIP Exclusive Diamond ,20000.0,0.0
3f172c8d-0620-4191-8718-f740879fc23e,1,0.0,Dedicated Technical Case Solutioning and Interview Prep,300.0,200.0
4ef52c8a-6714-4534-8b1d-61a6957c661b,1,0.0,HubSpot CRM Declarative Development,2000.0,0.0
5004c062-c432-4938-ac00-d30ad27e1a7b,6,0.5,Babskenky One Year VIP Mentorship,6000.0,5000.0
67913c47-358c-4420-9179-dc5efdfc0ec8,1,0.0,All-in-OneTriple Play Course,2250.0,1500.0
69e873e2-270a-404e-b752-8e7c31f7d099,1,0.0,ONE-TIME STANDALONE COURSE 2026,1000.0,
702812c6-2318-446f-a2f0-3a999b58ee9e,1,0.0,Python for Software Development,2000.0,0.0
7a62acc9-b690-44f5-bb33-1485b1548c9b,1,0.0,2026 CRM Declarative Development (No or Low Code) ,5000.0,0.0
83aa99b5-d73c-42e6-8f74-13185b8fdf79,2,0.0,ONE-YEAR VIP MENTORSHIP  for Cybersecurity with Data Intelligence (CDI),7500.0,0.0
86f00734-b49e-4440-ae14-a523d0f681a1,1,0.0,LEGACY ON DEMAND RECORDED COURSES (BUNDLE) 2026,1000.0,
88ea44d2-dfd3-47de-908a-2171c073d89a,1,0.0,On Demand Interview Prep Library,300.0,250.0
9615ba5f-a1a2-42b2-b5d5-8f285e1da44d,1,0.0,"Five in One : Business Analysis, Salesforce Business Analysis,  Scrum & Agile Theory & Practice  Quality Testing and Product Ownership",5000.0,2000.0
9fda4ca1-f0d6-4363-a0fd-d82101af7039,1,0.0,Salesforce Flow Automation,2000.0,0.0
aad87038-a418-4037-ace6-28af85e74ac4,5,0.2,Babskenky Mentorship and Coaching Consultation (per Hour),300.0,250.0
b9978dc5-bef7-4996-8e85-82b3efa18d68,1,0.0,30+ Hours Live Interview Mastery,1000.0,500.0
dde6c27f-c927-43db-a8ac-5030b87bf60e,2,0.0,HubSpot CRM Theory and Practice,2000.0,0.0
e1abf491-e62c-4ffd-b151-96a925bc6f0c,5,0.2,2026 Six-Month Diamond Mentorship,5000.0,0.0
e4a377c5-fa5d-4d8b-be42-c78b03f61c74,2,0.0,Salesforce Service Cloud with Project (Experienced Cloud),1500.0,0.0
f39f6f6c-4276-4592-b110-de12ec071187,1,1.0,Salesforce Development,4000.0,0.0
fdfa2356-fac0-4552-808a-946c3254b120,2,0.0,6-Month Comprehensive Career Accelerator Program,2000.0,500.0
