paymentMonth,status,id
2025-04-01,pending,7
2025-05-01,not_paid,7
2025-05-01,pending,32
2025-05-01,succeeded,46
2025-06-01,pending,13
2025-06-01,succeeded,36
2025-07-01,not_paid,7
2025-07-01,pending,4
2025-07-01,succeeded,29
2025-08-01,not_paid,6
2025-08-01,pending,1
2025-08-01,succeeded,17
2025-09-01,not_paid,1
2025-09-01,succeeded,11
2025-10-01,not_paid,4
2025-10-01,pending,2
2025-10-01,succeeded,24
2025-11-01,not_paid,11
2025-11-01,pending,1
2025-11-01,succeeded,1
2025-12-01,pending,1
2025-12-01,succeeded,3
2026-01-01,not_paid,199
2026-01-01,pending,3
2026-01-01,succeeded,17
2026-02-01,not_paid,141
2026-02-01,succeeded,5
