productTitle,productId,units,revenue,cumulative_revenue,cumulative_share
6-Month Comprehensive Career Accelerator Program,299c7ee3-895a-4574-870a-2de120c2885b,148,27584.52,27584.52,0.5389864884668367
Babskenky One Year VIP Mentorship,5004c062-c432-4938-ac00-d30ad27e1a7b,11,9000.0,36584.520000000004,0.714841583868226
2026 ONE-YEAR VIP DIAMOND MENTORSHIP ,3e074e98-24ff-47df-91e0-8c59a492fe9e,9,4420.66,41005.18000000001,0.8012188712056822
2026 Six-Month Diamond Mentorship,e1abf491-e62c-4ffd-b151-96a925bc6f0c,2,2650.0,43655.18000000001,0.8529984270738691
2026 One-on-One VIP Exclusive Diamond ,3eb0a4e6-0506-454f-99b0-66bcc956317a,3,2000.0,45655.18000000001,0.8920773371630667
Salesforce Development,f39f6f6c-4276-4592-b110-de12ec071187,1,1500.0,47155.18000000001,0.9213865197299649
Leadership Training and Soft Skill Development for Technical Contributors ,3e487669-fc09-4c1a-ba0f-e9cbe85b93ce,1,1000.0,48155.18000000001,0.9409259747745636
ONE-YEAR VIP MENTORSHIP  for Cybersecurity with Data Intelligence (CDI),83aa99b5-d73c-42e6-8f74-13185b8fdf79,2,885.0,49040.18000000001,0.9582183924890336
 À LA CARTE ONE-TIME INTERVIEW PREP HELP (TECHNICAL & NON TECHNICAL) 2026,04974be6-46e4-42b7-bfe0-e045c6616a9b,2,600.0,49640.18000000001,0.9699420655157929
Dedicated Technical And Non-Technical Case Solutioning & Interview Prep,16ad7bae-2030-4025-86fc-d402e04f32f6,2,400.0,50040.18000000001,0.9777578475336325
HubSpot CRM Theory and Practice,dde6c27f-c927-43db-a8ac-5030b87bf60e,2,333.32,50373.50000000001,0.9842707386890981
100+ Hours Live Interview Mastery,07fdf4cb-85d8-4f4d-9285-0f712f11c992,1,300.0,50673.50000000001,0.9901325752024778
HubSpot CRM Declarative Development,4ef52c8a-6714-4534-8b1d-61a6957c661b,1,200.0,50873.50000000001,0.9940404662113975
"Five in One : Business Analysis, Salesforce Business Analysis,  Scrum & Agile Theory & Practice  Quality Testing and Product Ownership",9615ba5f-a1a2-42b2-b5d5-8f285e1da44d,1,200.0,51073.50000000001,0.9979483572203173
Salesforce Service Cloud with Project (Experienced Cloud),e4a377c5-fa5d-4d8b-be42-c78b03f61c74,2,100.0,51173.50000000001,0.9999023027247772
Babskenky Mentorship and Coaching Consultation (per Hour),aad87038-a418-4037-ace6-28af85e74ac4,1,5.0,51178.50000000001,1.0000000000000002
