sessionMonth,is_gateway_session,avg_join_rate,sessions,sessionType
2025-06-01,True,0.3279178831504413,10,Gateway
2025-07-01,False,0.31488329589014685,4,Non-Gateway
2025-07-01,True,0.34835527201270555,7,Gateway
2025-08-01,False,0.2755462053384687,9,Non-Gateway
2025-08-01,True,0.24769303715666827,10,Gateway
2025-09-01,False,0.14249429223744292,8,Non-Gateway
2025-09-01,True,0.21924324324324326,5,Gateway
2025-10-01,False,0.10692504423667774,7,Non-Gateway
2025-10-01,True,0.06084547704405299,8,Gateway
2025-11-01,False,0.27380952380952384,1,Non-Gateway
2025-11-01,True,0.04924698795180723,3,Gateway
2025-12-01,False,0.20626724189258921,8,Non-Gateway
2026-01-01,False,0.28711264015772936,26,Non-Gateway
2026-02-01,False,0.25914021164021167,9,Non-Gateway
